0, 0.05, -0.04, -0.17, 1.15, -10.40, 0.98, 113.50, 4.19, 93.87
10, 0.10, 0.04, -0.19, 0.84, -10.56, 0.92, 113.62, 4.25, 93.81
20, 0.15, 0.12, -0.21, 0.54, -10.77, 0.75, 113.81, 4.38, 93.69
30, 0.22, 0.19, -0.22, 0.20, -10.93, 0.45, 114.06, 4.50, 93.56
40, 0.30, 0.22, -0.21, 0.09, -10.96, 0.30, 114.31, 4.63, 93.44
50, 0.39, 0.25, -0.19, 0.00, -10.96, 0.25, 114.56, 4.75, 93.19
61, 0.49, 0.26, -0.17, -0.17, -10.90, 0.32, 114.75, 4.81, 92.94
70, 0.61, 0.24, -0.15, -0.30, -10.82, 0.36, 114.94, 4.94, 92.56
81, 0.72, 0.19, -0.14, -0.27, -10.90, 0.25, 115.06, 5.00, 92.19
92, 0.81, 0.13, -0.13, -0.03, -11.13, 0.20, 115.25, 5.13, 91.25
103, 0.90, 0.07, -0.13, 0.27, -11.30, -0.08, 115.25, 5.25, 90.69
115, 1.02, -0.01, -0.13, 1.55, -11.25, -0.09, 115.19, 5.31, 90.06
126, 1.32, -0.26, -0.14, 1.89, -11.03, 0.07, 115.12, 5.38, 89.31
138, 1.44, -0.40, -0.16, 2.79, -10.68, 1.01, 114.94, 5.44, 88.56
149, 1.54, -0.56, -0.21, 3.12, -10.56, 1.48, 114.62, 5.56, 87.75
160, 1.63, -0.70, -0.28, 3.27, -10.53, 1.97, 114.37, 5.75, 86.94
172, 1.77, -0.79, -0.34, 3.17, -10.41, 2.27, 114.06, 5.94, 86.00
183, 1.91, -0.81, -0.40, 2.60, -10.25, 2.80, 113.75, 6.25, 85.00
195, 1.90, -0.79, -0.43, 2.28, -10.44, 3.04, 113.31, 6.75, 83.00
206, 1.96, -0.59, -0.42, 2.22, -10.48, 3.04, 113.12, 7.06, 81.94
217, 1.86, -0.38, -0.36, 2.20, -10.57, 2.46, 113.06, 7.25, 81.00
229, 1.67, -0.09, -0.29, 2.25, -10.71, 1.72, 113.12, 7.44, 80.06
240, 1.57, 0.10, -0.19, 2.34, -10.69, 0.65, 113.19, 7.50, 79.19
251, 1.58, 0.03, -0.08, 1.43, -10.04, -1.09, 112.94, 7.63, 77.44
263, 1.64, -0.20, -0.01, 0.83, -9.55, -1.29, 112.69, 7.63, 76.62
274, 1.61, -0.40, 0.01, 0.42, -9.10, -1.35, 112.37, 7.69, 75.94
285, 1.27, -0.59, 0.04, -0.50, -8.99, -1.04, 112.00, 7.75, 75.31
297, 1.21, -0.64, 0.04, -0.32, -9.09, -1.10, 111.69, 7.81, 74.69
308, 1.04, -0.81, 0.06, -0.19, -8.92, -0.78, 111.25, 7.94, 74.19
319, 0.80, -0.74, 0.10, 0.86, -8.48, 0.86, 110.81, 8.00, 73.81
331, 0.59, -0.58, 0.16, 1.60, -8.22, 1.23, 110.25, 8.00, 73.50
342, 0.45, -0.41, 0.20, 2.20, -7.95, 1.08, 109.69, 7.88, 73.19
353, 0.33, -0.22, 0.22, 2.59, -7.83, 0.73, 109.56, 7.75, 73.06
364, 0.19, -0.04, 0.21, 1.94, -7.86, 0.51, 109.50, 7.63, 73.06
375, 0.05, 0.09, 0.21, 1.62, -7.82, 0.60, 109.37, 7.50, 73.06
386, -0.20, 0.30, 0.23, 1.36, -7.76, 0.64, 109.37, 7.31, 73.19
397, -0.33, 0.40, 0.25, 1.04, -7.82, 0.63, 109.37, 7.13, 73.31
408, -0.42, 0.49, 0.27, 0.93, -7.84, 0.73, 109.50, 6.94, 73.50
418, -0.50, 0.54, 0.28, 0.87, -7.92, 0.85, 109.56, 6.69, 73.75
431, -0.59, 0.53, 0.27, 1.00, -8.06, 0.99, 109.62, 6.44, 74.06
442, -0.68, 0.48, 0.26, 1.23, -8.13, 0.96, 109.69, 6.25, 74.44
452, -0.79, 0.39, 0.25, 1.54, -8.17, 0.89, 109.75, 5.94, 75.31
463, -0.90, 0.22, 0.23, 3.06, -7.88, 0.43, 109.69, 5.81, 75.81
474, -0.95, -0.03, 0.20, 3.06, -7.88, 0.43, 109.50, 5.75, 76.37
485, -0.99, -0.31, 0.18, 4.51, -7.51, 0.36, 109.25, 5.75, 77.00
497, -1.04, -0.56, 0.24, 4.56, -7.26, 0.86, 108.87, 5.69, 77.56
508, -0.98, -0.37, 0.24, 4.03, -7.73, 2.68, 108.62, 5.56, 78.12
519, -0.98, -0.02, 0.20, 3.82, -8.39, 3.73, 108.56, 5.50, 78.69
530, -1.03, 0.37, 0.14, 3.65, -9.09, 4.49, 108.37, 5.38, 79.25
542, -1.09, 0.62, 0.09, 2.91, -11.20, 6.38, 109.00, 5.19, 80.31
553, -1.09, 0.68, 0.04, 2.66, -12.70, 7.62, 109.37, 5.13, 80.87
564, -0.99, 0.70, -0.00, 3.29, -14.32, 8.47, 109.75, 5.06, 81.25
575, -0.81, 0.71, -0.05, 4.20, -14.78, 7.07, 110.19, 5.06, 81.50
587, -0.15, 0.59, -0.26, 2.94, -14.45, 7.02, 110.56, 5.19, 81.56
598, 0.14, 0.68, -0.15, 0.62, -13.06, 5.81, 111.00, 5.19, 81.44
609, 0.18, 1.32, 0.09, -0.74, -10.98, -1.68, 111.56, 5.06, 81.31
621, 0.02, 2.08, 0.22, -0.38, -9.70, -4.71, 112.37, 4.75, 81.19
632, -0.34, 2.41, 0.23, -0.29, -8.56, -4.90, 113.31, 4.44, 81.25
643, -0.58, 1.82, 0.09, 1.35, -7.54, 2.02, 114.44, 4.25, 81.62
655, -0.30, 0.53, -0.11, 0.46, -8.01, 3.39, 114.25, 4.44, 81.50
666, 0.83, -1.11, -0.29, -1.09, -8.32, 2.72, 113.87, 4.69, 81.06
677, 0.76, -0.77, -0.23, -2.60, -8.26, 0.65, 113.56, 4.88, 80.69
689, 0.40, -0.12, -0.15, -3.43, -9.08, -0.99, 113.56, 5.00, 80.50
700, 0.09, 0.15, -0.01, -2.84, -10.01, -1.05, 113.62, 5.00, 80.44
