0, 0.01, 0.03, -0.00, -0.26, -9.80, -0.72, 288.88, -2.06, 93.62
10, 0.01, 0.03, 0.00, -0.26, -9.83, -0.77, 288.94, -2.06, 93.62
21, 0.02, 0.03, 0.00, -0.26, -9.84, -0.73, 288.94, -2.06, 93.62
30, 0.01, 0.04, -0.00, -0.30, -9.81, -0.70, 288.94, -2.06, 93.56
40, 0.02, 0.04, 0.00, -0.33, -9.82, -0.71, 289.00, -2.06, 93.56
50, 0.01, 0.04, 0.00, -0.36, -9.80, -0.67, 289.00, -2.06, 93.56
60, 0.01, 0.03, 0.00, -0.38, -9.82, -0.76, 289.00, -2.06, 93.56
71, 0.01, 0.03, 0.00, -0.35, -9.84, -0.69, 289.06, -2.06, 93.56
82, 0.01, 0.03, 0.00, -0.38, -9.85, -0.66, 289.06, -2.06, 93.56
93, 0.00, 0.03, 0.01, -0.35, -9.86, -0.64, 289.06, -2.06, 93.56
105, 0.00, 0.03, 0.01, -0.35, -9.87, -0.68, 289.13, -2.06, 93.56
116, 0.00, 0.03, 0.00, -0.31, -9.90, -0.72, 289.13, -2.06, 93.56
127, 0.00, 0.02, 0.00, -0.30, -9.87, -0.66, 289.13, -2.06, 93.56
139, 0.00, 0.03, 0.00, -0.32, -9.83, -0.65, 289.13, -2.06, 93.56
150, 0.00, 0.03, -0.00, -0.32, -9.84, -0.67, 289.19, -2.06, 93.56
162, 0.00, 0.03, -0.00, -0.33, -9.84, -0.77, 289.19, -2.06, 93.56
173, -0.01, 0.03, -0.00, -0.33, -9.85, -0.69, 289.19, -2.06, 93.56
185, 0.00, 0.03, -0.00, -0.37, -9.82, -0.69, 289.19, -2.06, 93.56
196, -0.00, 0.03, -0.00, -0.38, -9.81, -0.69, 289.25, -2.06, 93.56
208, -0.01, 0.02, 0.00, -0.36, -9.85, -0.83, 289.25, -2.06, 93.56
219, -0.00, 0.02, -0.00, -0.35, -9.87, -0.84, 289.25, -2.06, 93.56
231, -0.00, 0.01, -0.00, -0.33, -9.90, -0.76, 289.25, -2.06, 93.56
244, 0.00, 0.01, -0.00, -0.31, -9.90, -0.71, 289.25, -2.06, 93.56
254, 0.01, 0.01, -0.01, -0.28, -9.90, -0.77, 289.25, -2.06, 93.56
267, 0.01, 0.01, -0.01, -0.29, -9.85, -0.77, 289.25, -2.06, 93.56
278, 0.01, 0.01, -0.00, -0.31, -9.84, -0.74, 289.25, -2.06, 93.56
